rideable_type,started_at,start_date,start_day_of_the_week,start_time,ended_at,end_date,end_day_of_the_week,end_time,time,start_station_name,end_station_name,diff
classic_bike,3/22/2024 11:51,3/22/2024,Friday,11:51:00,3/22/2024 12:15,3/22/2024,Friday,12:15:00,11:51:00,Michigan Ave & Ida B Wells Dr,Ashland Ave & Blackhawk St,-1
classic_bike,2/23/2024 14:06,2/23/2024,Friday,14:06:12,2/23/2024 14:46,2/23/2024,Friday,14:46:00,14:06:12,Michigan Ave & Ida B Wells Dr,Broadway & Belmont Ave,-1
classic_bike,3/29/2024 7:16,3/29/2024,Friday,7:16:00,3/29/2024 7:24,3/29/2024,Friday,7:24:00,7:16:00,Michigan Ave & Ida B Wells Dr,Canal St & Harrison St,-1
classic_bike,3/8/2024 7:34,3/8/2024,Friday,7:34:00,3/8/2024 7:42,3/8/2024,Friday,7:42:00,7:34:00,Michigan Ave & Ida B Wells Dr,Canal St & Harrison St,-1
classic_bike,3/8/2024 19:16,3/8/2024,Friday,19:16:00,3/8/2024 19:23,3/8/2024,Friday,19:23:00,19:16:00,Michigan Ave & Ida B Wells Dr,Canal St & Jackson Blvd,-1
classic_bike,3/29/2024 20:12,3/29/2024,Friday,20:12:00,3/29/2024 20:20,3/29/2024,Friday,20:20:00,20:12:00,Michigan Ave & Ida B Wells Dr,Canal St & Jackson Blvd,-1
electric_bike,3/29/2024 10:11,3/29/2024,Friday,10:11:00,3/29/2024 10:19,3/29/2024,Friday,10:19:00,10:11:00,Michigan Ave & Ida B Wells Dr,Canal St & Madison St,-1
classic_bike,3/29/2024 14:04,3/29/2024,Friday,14:04:00,3/29/2024 14:12,3/29/2024,Friday,14:12:00,14:04:00,Michigan Ave & Ida B Wells Dr,Canal St & Madison St,-1
classic_bike,2/16/2024 13:33,2/16/2024,Friday,13:33:22,2/16/2024 13:41,2/16/2024,Friday,13:41:00,13:33:22,Michigan Ave & Ida B Wells Dr,Canal St & Monroe St,-1
classic_bike,3/15/2024 17:07,3/15/2024,Friday,17:07:00,3/15/2024 17:20,3/15/2024,Friday,17:20:00,17:07:00,Michigan Ave & Ida B Wells Dr,Canal St & Monroe St,-1
classic_bike,3/8/2024 0:25,3/8/2024,Friday,0:25:00,3/8/2024 0:45,3/8/2024,Friday,0:45:00,0:25:00,Michigan Ave & Ida B Wells Dr,Clinton St & 18th St,-1
electric_bike,2/23/2024 14:14,2/23/2024,Friday,14:14:35,2/23/2024 14:23,2/23/2024,Friday,14:23:00,14:14:35,Michigan Ave & Ida B Wells Dr,Clinton St & Madison St,-1
classic_bike,2/16/2024 15:27,2/16/2024,Friday,15:27:21,2/16/2024 15:37,2/16/2024,Friday,15:37:00,15:27:21,Michigan Ave & Ida B Wells Dr,Clinton St & Washington Blvd,-1
classic_bike,3/15/2024 13:10,3/15/2024,Friday,13:10:00,3/15/2024 13:17,3/15/2024,Friday,13:17:00,13:10:00,Michigan Ave & Ida B Wells Dr,Columbus Dr & Randolph St,-1
classic_bike,2/23/2024 15:31,2/23/2024,Friday,15:31:10,2/23/2024 15:43,2/23/2024,Friday,15:43:00,15:31:10,Michigan Ave & Ida B Wells Dr,Daley Center Plaza,-1
classic_bike,2/2/2024 9:22,2/2/2024,Friday,9:22:00,2/2/2024 9:49,2/2/2024,Friday,9:49:00,9:22:00,Michigan Ave & Ida B Wells Dr,Daley Center Plaza,-1
