rideable_type,started_at,start_date,start_day_of_the_week,start_time,ended_at,end_date,end_day_of_the_week,end_time,start_station_name,end_station_name
electric_bike,2/2/2024 9:30,2/2/2024,Friday,9:30:52,2/2/2024 9:32,2/2/2024,Friday,9:32:00,Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr
classic_bike,2/6/2024 19:26,2/6/2024,Tuesday,19:26:03,2/6/2024 19:26,2/6/2024,Tuesday,19:26:00,Michigan Ave & Ida B Wells Dr,Michigan Ave & Ida B Wells Dr
classic_bike,2/28/2024 16:20,2/28/2024,Wednesday,16:20:57,2/28/2024 16:24,2/28/2024,Wednesday,16:24:00,Michigan Ave & Ida B Wells Dr,Wabash Ave & 9th St
electric_bike,2/20/2024 14:19,2/20/2024,Tuesday,14:19:06,2/20/2024 14:20,2/20/2024,Tuesday,14:20:00,Michigan Ave & Ida B Wells Dr,Dearborn St & Van Buren St
classic_bike,2/5/2024 20:11,2/5/2024,Monday,20:11:07,2/5/2024 20:20,2/5/2024,Monday,20:20:00,Michigan Ave & Ida B Wells Dr,Calumet Ave & 18th St
classic_bike,2/25/2024 12:26,2/25/2024,Sunday,12:26:30,2/25/2024 14:36,2/25/2024,Sunday,14:36:00,Michigan Ave & Ida B Wells Dr,Clark St & Newport St
classic_bike,2/19/2024 8:41,2/19/2024,Monday,8:41:27,2/19/2024 8:46,2/19/2024,Monday,8:46:00,Michigan Ave & Ida B Wells Dr,Michigan Ave & Lake St
classic_bike,2/21/2024 20:31,2/21/2024,Wednesday,20:31:07,2/21/2024 20:42,2/21/2024,Wednesday,20:42:00,Michigan Ave & Ida B Wells Dr,Calumet Ave & 18th St
electric_bike,2/6/2024 9:10,2/6/2024,Tuesday,9:10:56,2/6/2024 9:26,2/6/2024,Tuesday,9:26:00,Michigan Ave & Ida B Wells Dr,Hermitage Ave & Polk St
classic_bike,2/12/2024 16:08,2/12/2024,Monday,16:08:42,2/12/2024 16:47,2/12/2024,Monday,16:47:00,Michigan Ave & Ida B Wells Dr,Clarendon Ave & Junior Ter
classic_bike,2/23/2024 14:06,2/23/2024,Friday,14:06:12,2/23/2024 14:46,2/23/2024,Friday,14:46:00,Michigan Ave & Ida B Wells Dr,Broadway & Belmont Ave
classic_bike,2/9/2024 12:11,2/9/2024,Friday,12:11:36,2/9/2024 12:14,2/9/2024,Friday,12:14:00,Michigan Ave & Ida B Wells Dr,Wabash Ave & 9th St
classic_bike,2/14/2024 17:19,2/14/2024,Wednesday,17:19:17,2/14/2024 17:22,2/14/2024,Wednesday,17:22:00,Michigan Ave & Ida B Wells Dr,Wabash Ave & 9th St
classic_bike,2/8/2024 16:08,2/8/2024,Thursday,16:08:19,2/8/2024 16:11,2/8/2024,Thursday,16:11:00,Michigan Ave & Ida B Wells Dr,Wabash Ave & 9th St
classic_bike,2/12/2024 18:09,2/12/2024,Monday,18:09:34,2/12/2024 18:13,2/12/2024,Monday,18:13:00,Michigan Ave & Ida B Wells Dr,Wabash Ave & 9th St
classic_bike,2/19/2024 11:04,2/19/2024,Monday,11:04:10,2/19/2024 14:23,2/19/2024,Monday,14:23:00,Michigan Ave & Ida B Wells Dr,Buckingham Fountain
classic_bike,2/6/2024 7:14,2/6/2024,Tuesday,7:14:53,2/6/2024 7:22,2/6/2024,Tuesday,7:22:00,Michigan Ave & Ida B Wells Dr,Canal St & Harrison St
classic_bike,2/22/2024 7:14,2/22/2024,Thursday,7:14:03,2/22/2024 7:22,2/22/2024,Thursday,7:22:00,Michigan Ave & Ida B Wells Dr,Canal St & Harrison St
classic_bike,2/23/2024 15:31,2/23/2024,Friday,15:31:10,2/23/2024 15:43,2/23/2024,Friday,15:43:00,Michigan Ave & Ida B Wells Dr,Daley Center Plaza
classic_bike,2/15/2024 12:20,2/15/2024,Thursday,12:20:28,2/15/2024 12:34,2/15/2024,Thursday,12:34:00,Michigan Ave & Ida B Wells Dr,Daley Center Plaza
electric_bike,2/28/2024 16:34,2/28/2024,Wednesday,16:34:57,2/28/2024 16:44,2/28/2024,Wednesday,16:44:00,Michigan Ave & Ida B Wells Dr,Rush St & Hubbard St
classic_bike,2/9/2024 10:06,2/9/2024,Friday,10:06:39,2/9/2024 10:22,2/9/2024,Friday,10:22:00,Michigan Ave & Ida B Wells Dr,Kingsbury St & Kinzie St
